"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent"
"ZuAB3T6k4sk","2016-11-13T20:02:42.000Z","UCXIJgqnII2ZOINSWNOGFThA","Gutfeld: You did it, President-elect Trump","Now don't screw it up.","https://i.ytimg.com/vi/ZuAB3T6k4sk/default.jpg","120","90","https://i.ytimg.com/vi/ZuAB3T6k4sk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ZuAB3T6k4sk/hqdefault.jpg","480","360","Fox News","none"
"IvehsOEmkbA","2017-02-19T17:59:49.000Z","UCXIJgqnII2ZOINSWNOGFThA","Trump praises Krauthammer","After years of mutual criticism.","https://i.ytimg.com/vi/IvehsOEmkbA/default.jpg","120","90","https://i.ytimg.com/vi/IvehsOEmkbA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/IvehsOEmkbA/hqdefault.jpg","480","360","Fox News","none"
"0GzjpcF1OS0","2018-06-17T00:34:21.000Z","UCXIJgqnII2ZOINSWNOGFThA","Watters' Words: From anti-Trump to anti-American","Democrats are now rooting for America to fail just so President Trump takes a hit. FOX News Channel (FNC) is a 24-hour all-encompassing news service ...","https://i.ytimg.com/vi/0GzjpcF1OS0/default.jpg","120","90","https://i.ytimg.com/vi/0GzjpcF1OS0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/0GzjpcF1OS0/hqdefault.jpg","480","360","Fox News","none"
"3LWTgoCSbTE","2018-06-07T02:36:45.000Z","UCXIJgqnII2ZOINSWNOGFThA","Hannity: Reports about Comey, McCabe are not surprising","According to ABC News, the DOJ's watchdog is coming out strong against James Comey, Andrew McCabe and Loretta Lynch in a forthcoming report. FOX News ...","https://i.ytimg.com/vi/3LWTgoCSbTE/default.jpg","120","90","https://i.ytimg.com/vi/3LWTgoCSbTE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/3LWTgoCSbTE/hqdefault.jpg","480","360","Fox News","none"
"UbNz-hFycfs","2018-06-26T17:35:21.000Z","UCXIJgqnII2ZOINSWNOGFThA","Trump: Supreme Court ruling on travel ban is 'great victory'","President Trump addresses Supreme Court decision upholding the administration's travel ban. FOX News Channel (FNC) is a 24-hour all-encompassing news ...","https://i.ytimg.com/vi/UbNz-hFycfs/default.jpg","120","90","https://i.ytimg.com/vi/UbNz-hFycfs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/UbNz-hFycfs/hqdefault.jpg","480","360","Fox News","none"
"xsRThvUSsB0","2018-06-15T12:50:29.000Z","UCXIJgqnII2ZOINSWNOGFThA","Giuliani: Time to investigate Mueller's investigators","On the heels of the IG report, the attorney for President Trump on 'Fox & Friends' says it's time to halt the Russia investigation. FOX News Channel (FNC) is a ...","https://i.ytimg.com/vi/xsRThvUSsB0/default.jpg","120","90","https://i.ytimg.com/vi/xsRThvUSsB0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/xsRThvUSsB0/hqdefault.jpg","480","360","Fox News","none"
"NqObNjYEZCE","2018-06-27T03:35:13.000Z","UCXIJgqnII2ZOINSWNOGFThA","Ingraham: The new Know Nothings","Leftists are purging our nation of its history and culture and have basically declared open season on conservatives. FOX News Channel (FNC) is a 24-hour ...","https://i.ytimg.com/vi/NqObNjYEZCE/default.jpg","120","90","https://i.ytimg.com/vi/NqObNjYEZCE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/NqObNjYEZCE/hqdefault.jpg","480","360","Fox News","none"
"F7yG5Pz08cQ","2018-07-07T19:58:16.000Z","UCXIJgqnII2ZOINSWNOGFThA","Candace Owens: The left wishes to see a divided America","Candace Owens of Turning Point USA speaks out about growing attacks against the right. FOX News Channel (FNC) is a 24-hour all-encompassing news ...","https://i.ytimg.com/vi/F7yG5Pz08cQ/default.jpg","120","90","https://i.ytimg.com/vi/F7yG5Pz08cQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/F7yG5Pz08cQ/hqdefault.jpg","480","360","Fox News","none"
"C5Ih4sST8tY","2018-06-15T15:33:53.000Z","UCXIJgqnII2ZOINSWNOGFThA","3 Doors Down talks support for Trump, US military","The band reflects on their inauguration performance and previews their new summer tour on 'Fox & Friends.' FOX News Channel (FNC) is a 24-hour ...","https://i.ytimg.com/vi/C5Ih4sST8tY/default.jpg","120","90","https://i.ytimg.com/vi/C5Ih4sST8tY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/C5Ih4sST8tY/hqdefault.jpg","480","360","Fox News","none"
"2SXr6kYYqag","2018-06-29T23:41:59.000Z","UCXIJgqnII2ZOINSWNOGFThA","Scaramucci on Trump's Supreme Court pick, WH staff rumors","Former White House communications director joins 'The Story' to discuss President Trump's plans to replace Supreme Court Justice Kennedy and reports that ...","https://i.ytimg.com/vi/2SXr6kYYqag/default.jpg","120","90","https://i.ytimg.com/vi/2SXr6kYYqag/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2SXr6kYYqag/hqdefault.jpg","480","360","Fox News","none"
