"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent"
"YqABB60-8z4","2016-07-27T01:45:50.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","This Guy Hates Traffic... So He's Building a Flying Car","Like the rest of us, Dezso Molnar hates traffic. But lucky for you, he's working on the solution. In this segment of ""Hello World: Mojave,"" Bloomberg's Ashlee ...","https://i.ytimg.com/vi/YqABB60-8z4/default.jpg","120","90","https://i.ytimg.com/vi/YqABB60-8z4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/YqABB60-8z4/hqdefault.jpg","480","360","Bloomberg","none"
"UEZPs7sXev0","2017-01-17T16:21:18.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Theresa May's Brexit Speech in 50 Seconds","Jan.17 -- British Prime Minister Theresa May outlined ""a smooth and orderly Brexit"" in a speech to diplomats in London on Tuesday. Here are excerpts.","https://i.ytimg.com/vi/UEZPs7sXev0/default.jpg","120","90","https://i.ytimg.com/vi/UEZPs7sXev0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/UEZPs7sXev0/hqdefault.jpg","480","360","Bloomberg","none"
"jMedqlxbFfM","2016-07-17T16:02:40.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","A History of the Black Lives Matter Movement","July 14 -- Black Lives Matter started as a hashtag on Twitter. Now it's a national movement. This Bloomberg QuickTake video explains what it seeks to achieve, ...","https://i.ytimg.com/vi/jMedqlxbFfM/default.jpg","120","90","https://i.ytimg.com/vi/jMedqlxbFfM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/jMedqlxbFfM/hqdefault.jpg","480","360","Bloomberg","none"
"871RK2Y537g","2018-02-20T22:42:18.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","How Suu Kyi Went From Political Prisoner to Leader","Bloomberg Profiles take a look at the life of Myanmar's Aung San Suu Kyi, the events that surrounded her rise to power and the eventual calls for her to be ...","https://i.ytimg.com/vi/871RK2Y537g/default.jpg","120","90","https://i.ytimg.com/vi/871RK2Y537g/mqdefault.jpg","320","180","https://i.ytimg.com/vi/871RK2Y537g/hqdefault.jpg","480","360","Bloomberg","none"
"VqMech4Wt2Y","2013-04-12T13:28:52.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Human Robot: Meet Chris Dancy, the World's Most Monitored Person","April 11 (Bloomberg) -- Cory Johnson profiles Chris Dancy, the world's most quantified man, on Bloomberg Television's ""Bloomberg West."" (Source: Bloomberg) ...","https://i.ytimg.com/vi/VqMech4Wt2Y/default.jpg","120","90","https://i.ytimg.com/vi/VqMech4Wt2Y/mqdefault.jpg","320","180","https://i.ytimg.com/vi/VqMech4Wt2Y/hqdefault.jpg","480","360","Bloomberg","none"
"mNzyvGtwX8Q","2013-07-29T17:56:58.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Publicis vs. Omnicom: Battle of the Best Ads","July 29 (Bloomberg) -- Bloomberg Television looks at some of the best ads from advertising agencies Publicis and Omnicom. (Source: Bloomberg) --Subscribe ...","https://i.ytimg.com/vi/mNzyvGtwX8Q/default.jpg","120","90","https://i.ytimg.com/vi/mNzyvGtwX8Q/mqdefault.jpg","320","180","https://i.ytimg.com/vi/mNzyvGtwX8Q/hqdefault.jpg","480","360","Bloomberg","none"
"oknsHSv1DcM","2015-11-06T00:37:51.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Here Are the Top Business and Economic Trends to Watch for in 2016","Nov. 5 -- Techonomy CEO David Kirkpatrick and Bloomberg Businessweek's Ellen Pollock discusses Businessweek's ""The Year Ahead 2016"" issue. They speak ...","https://i.ytimg.com/vi/oknsHSv1DcM/default.jpg","120","90","https://i.ytimg.com/vi/oknsHSv1DcM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/oknsHSv1DcM/hqdefault.jpg","480","360","Bloomberg","none"
"5J2XSgUMtaA","2012-03-23T15:36:57.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Formula One Cost Cuts Bring Sponsors Back at Lower Price","May 30 (Bloomberg) -- Bloomberg's Olivia Sterns reports on the success of Formula One's Red Bull racing team and sponsorship in the sport.","https://i.ytimg.com/vi/5J2XSgUMtaA/default.jpg","120","90","https://i.ytimg.com/vi/5J2XSgUMtaA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/5J2XSgUMtaA/hqdefault.jpg","480","360","Bloomberg","none"
"66jKy5cZpRc","2015-09-17T05:17:12.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","The German Town Offering Refugees Work for 1 Euro an Hour","September 17 -- Germany is braced for an influx of refugees that could top one million this year, more than previously estimated. But a small town south of ...","https://i.ytimg.com/vi/66jKy5cZpRc/default.jpg","120","90","https://i.ytimg.com/vi/66jKy5cZpRc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/66jKy5cZpRc/hqdefault.jpg","480","360","Bloomberg","none"
"dncKTRPfbJc","2012-03-23T16:26:48.000Z","UCUMZ7gohGI9HcU9VNsr2FJQ","Casey Says China's Entrepreneurs Biggest Threat to West","Feb. 23 (Bloomberg) -- Liam Casey, chief executive officer and founder of PCH International, talks about his company and the business climate for Western firms ...","https://i.ytimg.com/vi/dncKTRPfbJc/default.jpg","120","90","https://i.ytimg.com/vi/dncKTRPfbJc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/dncKTRPfbJc/hqdefault.jpg","480","360","Bloomberg","none"
