"date","title","video_id","viewCount","likeCount","dislikeCount","commentCount","source"
2016-01-20,"2016 Victoria’s Secret Swim Special Teaser 1","dJh8RmEyOJU","182805","3171","33","91","VS"
2016-02-03,"Score More: The Victoria’s Secret Angels Play Football (2016 Extended Cut)","iLxhMp1mmVM","431126","3808","265","282","VS"
2016-02-23,"Victoria’s Secret:  xo, Victoria Online Commercial","0UfnFuJ1-6w","184411","2084","24","87","VS"
2016-03-04,"Victoria’s Secret - 2016 Swim Special Official Trailer","tTMOyL1AlIY","542565","5660","85","211","VS"
2016-03-16,"Victoria’s Secret Body by Victoria TV Commercial (Extended) (Spring 2016)","uJ7338KAl44","446714","5999","71","385","VS"
2016-03-22,"Victoria’s Secret - Very Sexy TV Commercial (Extended)","KC7mZqSMJNg","446008","3711","95","197","VS"
2016-03-22,"Victoria’s Secret - Very Sexy TV Commercial","uDCsU5wUvdQ","1169589","2251","56","151","VS"
2016-03-25,"Victoria’s Secret Sport TV Commercial (March 2016)","nMOjFHU9UfY","208127","3559","46","100","VS"
2016-04-12,"Victoria’s Secret Global Media Live Stream","0u3TsQUtnSY","764305","7966","293","340","VS"
2016-04-13,"Victoria’s Secret – The Bralette TV Commercial","0qJX2U34SH4","1033242","1797","41","94","VS"
2016-04-21,"Victoria’s Secret Fragrance Nominated For Major Award. Vote Now!","oBvIwEQ4oN0","91829","1622","33","71","VS"
2016-05-05,"Victoria’s Secret – Dream Angels Commercial","0fYMLQjK-MI","1080650","2801","33","111","VS"
2016-06-07,"The Victoria’s Secret Semi-Annual Sale TV Commercial (Summer 2016)","96oHrTljFr8","692769","2061","28","106","VS"
2016-07-21,"Victoria’s Secret Angels Talk Sport Bras","KJXHbNpCY7Q","287584","3229","55","155","VS"
2016-07-21,"Introducing Victoria Sport","-1jTNlOPG6Q","156707","3659","32","96","VS"
2016-07-26,"Victoria’s Secret – Body By Victoria “Easy” Collection TV Commercial","QGplpvXZCcA","285784","1677","78","139","VS"
2016-08-04,"Victoria’s Secret – Easy Collection TV Commercial","6ydo9136fi4","338591","1406","31","47","VS"
2016-08-23,"Victoria’s Secret – Bralette Collection TV Commercial","Pb6KQSwju7M","295991","1469","30","42","VS"
2016-08-26,"Victoria’s Secret – Sexy Shortie In Action","i5VuAbwCuSY","395963","1410","71","100","VS"
2016-09-08,"Victoria’s Secret Intense Fragrance Online Commercial","UPJHgtddYC4","141310","2284","21","175","VS"
2016-09-12,"Victoria’s Secret Opening in Amman","fEJZGOP-7LY","93466","1406","52","126","VS"
2016-09-13,"Victoria’s Secret – Dream Angels TV Commercial","a7BvphORs98","1234449","1802","96","83","VS"
2016-09-26,"Victoria’s Secret – Sexy Little Things TV Commercial","4scht4PE9w0","3336143","1735","47","132","VS"
2016-09-27,"Victoria’s Secret – Sexy Little Things Online Commercial","CfUUrZGSZs4","354825","3478","82","248","VS"
2016-10-14,"Victoria’s Secret Scandalous & New Scandalous Dare","nJIws_UV_Cc","103673","1832","32","97","VS"
2016-10-24,"The 2016 Victoria’s Secret Fashion Show Is Going To Paris!","dRwv9ldz_CM","429126","5640","63","419","VS"
2016-10-25,"The Making Of The 2016 Victoria’s Secret Fashion Show: Part 1","pmCNHBbrwTo","800462","11382","88","745","VS"
2016-10-26,"Victoria’s Secret Angel Jasmine Tookes Will Wear The 2016 Fantasy Bra","ZdShtNRNJLs","310044","5922","198","689","VS"
2016-10-26,"Bella Hadid Joins the 2016 Victoria’s Secret Fashion Show","kMSSlsnqoCE","693217","7230","1189","928","VS"
2016-10-27,"Behind The Bling: The 2016 Victoria’s Secret Fantasy Bra","t6fBq1Vmc4s","811328","8624","217","588","VS"
2016-10-27,"Victoria’s Secret Beautiful Commercial","qIJQtnP9AIk","2584423","2176","37","134","VS"
2016-10-30,"Victoria’s Secret Holiday 2016: A Very Private Affair","nQ2-71dQLuw","1105306","10281","655","636","VS"
2016-11-01,"The Making Of The 2016 Victoria’s Secret Fashion Show: Part 2","HOP0y9cOKOE","681984","7470","99","678","VS"
2016-11-02,"The 2016 Victoria’s Secret Fashion Show: Jasmine Tookes’ Road to the Runway","zckHzvpxGpA","253798","3751","66","169","VS"
2016-11-05,"The 2016 Victoria’s Secret Fashion Show: Josephine Skriver’s Road to the Runway","hntY0JAlczE","281974","4775","55","188","VS"
2016-11-08,"The Making Of The 2016 Victoria’s Secret Fashion Show: Part 4","M27Jj0BQVMs","498792","5543","38","202","VS"
2016-11-08,"The Making Of The 2016 Victoria’s Secret Fashion Show: Part 3","Xl4s8shykng","342476","3769","26","88","VS"
2016-11-08,"The 2016 Victoria’s Secret Fashion Show: Elsa Hosk’s Road to the Runway","t5LLyA9c3vw","170960","3097","20","89","VS"
2016-11-09,"Victoria’s Secret Opening in Singapore","qzKAwp0c-Bg","190621","2296","17","117","VS"
2016-11-12,"The 2016 Victoria’s Secret Fashion Show: Lily Aldridge’s Road to the Runway","Ng37yAJscII","141667","2648","31","49","VS"
2016-11-15,"The Making Of The 2016 Victoria’s Secret Fashion Show: Part 5","o8bVjXeC2Lw","632868","5617","73","505","VS"
2016-11-19,"The 2016 Victoria’s Secret Fashion Show: Sara Sampaio’s Road to the Runway","WbYvBRRMjbM","208598","4479","43","173","VS"
2016-11-20,"The 2016 Victoria’s Secret Fashion Show: Adriana Lima’s Road to the Runway","VliZyDraYeI","366275","7245","34","330","VS"
2016-11-22,"The Making Of The 2016 Victoria’s Secret Fashion Show: Part 6","QT5Ss-Km9s4","594640","5745","47","331","VS"
2016-11-23,"The 2016 Victoria’s Secret Fashion Show: Taylor Hill’s Road to the Runway","gWJNMlltS34","517468","5142","106","133","VS"
2016-12-01,"Victoria’s Secret Holiday Commercial: A Night At The Opera","L4fXil1ZjjA","2108208","10456","307","645","VS"
2016-12-01,"Victoria’s Secret Holiday 2016 Commercial (:30)","vE9Mk9u8wcs","151324","2849","32","86","VS"
2016-12-02,"The Making Of The 2016 Victoria’s Secret Fashion Show: Part 7","CDJRv4Tv4EI","1663150","13130","266","443","VS"
2016-12-05,"Backstage Hair & Makeup at the 2016 Victoria’s Secret Fashion Show","zaDIf-axUvM","232484","3499","34","82","VS"
2016-12-05,"The Making Of The 2016 Victoria’s Secret Fashion Show: Part 8","HBev-uuYqWA","579632","5923","55","235","VS"
2016-12-06,"Victoria’s Secret Live 2016","86mF928ZgFs","2483014","15525","547","742","VS"
2016-12-06,"Own The Look: Alessandra in the 2016 Victoria’s Secret Fashion Show","h-qbxxfMjhQ","88574","1579","5","43","VS"
2016-12-06,"Own The Look: Lily in the 2016 Victoria’s Secret Fashion Show","j-_oupXZcp8","70407","1063","13","29","VS"
2016-12-06,"Own The Look: Elsa in the 2016 Victoria’s Secret Fashion Show","7akZZtGGYVE","97436","1397","19","42","VS"
2016-12-06,"Own The Look: Romee in the 2016 Victoria’s Secret Fashion Show","li_GBBKJgbs","181523","1380","15","49","VS"
2016-12-06,"Own The Look: Martha in the 2016 Victoria’s Secret Fashion Show","w3v0z2Czkgc","61156","1146","12","28","VS"
2016-12-07,"Victoria’s Secret Paris Fragrance Commercial (:30)","l6Giuh8crZM","135157","1860","104","71","VS"
2016-12-12,"The 2016 Victoria’s Secret Fashion Show: The Angels on Social Media","gNG7YjhYPgY","196319","4372","55","96","VS"
2016-12-12,"The 2016 Victoria’s Secret Fashion Show: What is Love?","Plu4FdReOes","72046","1760","14","55","VS"
2016-12-12,"The 2016 Victoria’s Secret Fashion Show: Taylor is Ready for the Runway","IDR8FJhDyQs","127332","2972","29","94","VS"
2016-12-13,"Santa Baby: Victoria’s Secret Holiday 2016","b5A36JAUdb0","958186","9547","191","565","VS"
2016-12-15,"Victoria's Secret Live 2016: Verite","vDWP8fZRMAQ","58813","763","38","44","VS"
2016-12-21,"Victoria’s Secret Live 2016: Quiz Show","fo4opsaqITU","260246","2696","61","101","VS"
2016-12-21,"Victoria’s Secret Live 2016: Angel Elsa Hosk","MUJsjgwq1A0","176659","1836","28","156","VS"
2016-12-21,"Victoria’s Secret Live 2016: Work Out With JoJa","RDrNDKi4GjE","238452","3752","39","84","VS"
2016-12-21,"Victoria’s Secret Live 2016: Our Newest Models","It3FsauFcBg","98672","1107","42","120","VS"
2017-02-20,"Victoria’s Secret Opening in China","QkIpvV_Jsts","87707","2746","60","219","VS"
2017-02-28,"Victoria’s Secret Dream Angels Commercial","oey3HZG2evw","2832869","3118","79","137","VS"
2017-03-21,"Victoria’s Secret’s Very Sexy Now Commercial","2_VY-j88eQA","231347","2220","64","93","VS"
2017-03-21,"Victoria’s Secret Strapless TV Commercial","nDQdrbZZr4c","122033","1822","20","59","VS"
2017-04-07,"Victoria’s Secret Angels Land in China","AUSeEz_yhLE","143980","3377","31","169","VS"
2017-04-11,"Victoria’s Secret Bralettes TV Commercial","QGR-Xs-rqU8","96593","2181","45","96","VS"
2017-04-18,"Victoria’s Secret – Bralette Commercial (Extended)","rROF_O4Gypo","238145","5277","69","265","VS"
2017-04-26,"Victoria’s Secret Angel Adriana Lima in Singapore","lj4fty7-HWY","89455","2483","25","90","VS"
2017-05-02,"Victoria’s Secret Very Sexy Commercial","cTmyeL6m0Kg","3141619","2524","79","171","VS"
2017-05-22,"Victoria’s Secret Summer ‘17 Commercial","JRqTLMU03kE","213137","3456","78","233","VS"
2017-06-02,"Victoria’s Secret Angels Talk Summer","murUcJKEN3k","93661","2232","46","72","VS"
2017-06-08,"How Angels Get Festival-Ready","mdY-fLSfq3w","71084","1807","50","39","VS"
2017-06-09,"Victoria’s Secret Angels Lip Sync “2U” by David Guetta & Justin Bieber","N5ohLjqd6AM","1447115","25402","497","1063","VS"
2017-06-20,"Sara’s Night In","CoQphrG0wWU","151582","2617","28","104","VS"
2017-06-20,"Choose Sara’s Night","l8pjwwLdp20","163333","2468","50","158","VS"
2017-07-18,"Victoria’s Secret’s T-Shirt Bra Commercial","_1bpwRq1cs8","777178","2287","76","111","VS"
2017-07-31,"The Best Friend Game With Angel Sara Sampaio & Sadie Newman","oUyuga8ZhVY","80524","2259","28","111","VS"
2017-07-31,"The Best Friend Game With Angel Elsa Hosk & Madison Utendahl","npJgLWNrHYk","87804","2280","37","69","VS"
2017-08-01,"Victoria’s Secret: The New Sexy Commercial","Wwtl0w9mh5s","2701861","2202","73","202","VS"
2017-08-07,"The New Sexy: Everything","lM0GV5r8siY","254877","1388","55","44","VS"
2017-08-07,"The New Sexy: Something","hd5o1DYTy6Y","69455","1341","34","64","VS"
2017-08-16,"Victoria’s Secret Opening in Poland","g4E6I6nia3M","373353","2873","37","232","VS"
2017-08-22,"Coming Soon: The Making of the 2017 Victoria’s Secret Fashion Show","28DcYHLrb0k","378344","7703","77","708","VS"
2017-08-22,"Victoria’s Secret: Sexy Illusions Commercial","Kjq4zfl9iNo","4690815","2524","73","86","VS"
2017-08-29,"Victoria’s Secret: Sexy Illusions Push-Up Plunge","hsU4ZhYxOzk","88662","1134","23","47","VS"
2017-08-29,"Victoria’s Secret: Sexy Illusions Lightly Lined Wireless","Gp7xLNSmWl4","53114","1003","25","46","VS"
