"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @tastemadeuk: It may not be the official #royalwedding cake, but this cake is a jewel of its own.
RECIPE: https://t.co/RZfYzGuIKJ https:<U+2026>",FALSE,0,NA,2018-03-29 00:32:48,FALSE,NA,"979154372608192513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","geekgf",3,TRUE,FALSE,NA,NA
"2","RT @akdalzell: @Listen2Lena A2 England has always been on my bucket list. Maybe I can get there in time for the #RoyalWedding <ed><U+00A0><U+00BD><ed><U+00B8><U+0080> #EuropeYour<U+2026>",FALSE,0,NA,2018-03-29 00:30:14,FALSE,NA,"979153725833936896",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","momsandmunchkin",2,TRUE,FALSE,NA,NA
"3","RT @akdalzell: @Listen2Lena A2 England has always been on my bucket list. Maybe I can get there in time for the #RoyalWedding <ed><U+00A0><U+00BD><ed><U+00B8><U+0080> #EuropeYour<U+2026>",FALSE,0,NA,2018-03-29 00:28:28,FALSE,NA,"979153281879498757",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SassyModernMom",2,TRUE,FALSE,NA,NA
"4","@Listen2Lena A2 England has always been on my bucket list. Maybe I can get there in time for the #RoyalWedding <ed><U+00A0><U+00BD><ed><U+00B8><U+0080> #EuropeYourWay",FALSE,1,"Listen2Lena",2018-03-29 00:27:39,FALSE,NA,"979153075947450369","289204159","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","akdalzell",2,FALSE,FALSE,NA,NA
"5","@elizabetheperry That would be amazing! I figure she has to have it first of April so she can get ready for the #royalwedding.",FALSE,0,"elizabetheperry",2018-03-29 00:22:17,FALSE,"979151343347752961","979151722613534720","82374802","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tateizanorouke",0,FALSE,FALSE,NA,NA
"6","@WomanMagazine Thanks for the interview! To learn more about our work and predictions, visit our website:<U+2026> https://t.co/Zo5DACbR4J",FALSE,0,"WomanMagazine",2018-03-29 00:19:52,TRUE,"978577736699666432","979151117715042304","107417764","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PSYCHICTWINS",0,FALSE,FALSE,NA,NA
"7","Daily Blast Live co-host @toryshulman goes through historic royal cakes ahead of the upcoming #PrinceHarryandMeghan<U+2026> https://t.co/yTkTrrYFMs",FALSE,0,NA,2018-03-29 00:13:00,TRUE,NA,"979149387698982912",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","dailyblastlive",0,FALSE,FALSE,NA,NA
"8","Me: Do you want to go to this tea party/screening of the Prince Harry/Markle wedding?

Mom: I don't know. You'd be<U+2026> https://t.co/AEAPmKwf7g",FALSE,0,NA,2018-03-29 00:08:09,TRUE,NA,"979148167806705665",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","EmilieSalo",0,FALSE,FALSE,NA,NA
"9","#PrinceHarry and #MeghanMarkle 's royal wedding: What we know and what we don't know https://t.co/M8OWcpwzTX",FALSE,0,NA,2018-03-29 00:04:29,FALSE,NA,"979147243914657792",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","2getaticket",0,FALSE,FALSE,NA,NA
"10","RT @FauxTimesNews1: <ed><U+00A0><U+00BD><ed><U+00B1><U+0091>#DidYouKnow  If you are invited to the #RoyalWedding DO NOT wear white, a tiara or a banner that asks Who's Paying for<U+2026>",FALSE,0,NA,2018-03-29 00:02:18,FALSE,NA,"979146695920508929",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FauxTimesNews1",2,TRUE,FALSE,NA,NA
"11","The #RoyalWedding will be coming soon, want to see the carriage?
https://t.co/JRAJbyJFCG #London #Travel and #pearl #inspiration",FALSE,1,NA,2018-03-28 23:40:33,FALSE,NA,"979141219761754112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NaughtonBraun",0,FALSE,FALSE,NA,NA
