"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @LuluInThePalace: Walking into the long weekend like<ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>

#RoyalWedding https://t.co/kytV5uxRk2",FALSE,0,NA,2018-05-29 01:48:50,FALSE,NA,"1001279165042225152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PattyAnnDoyle",9,TRUE,FALSE,NA,NA
"2","RT @PassportIndex: #MeghanMarkle to become the first Royal Global Citizen? Find out how she plans on gaining her UK citizenship while keepi<U+2026>",FALSE,0,NA,2018-05-29 01:47:59,FALSE,NA,"1001278951870754817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ArtonCapital",3,TRUE,FALSE,NA,NA
"3","RT @JennaGuillaume: The little thumb stroke  <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>#RoyalWedding https://t.co/PE3Jnpb97L",FALSE,0,NA,2018-05-29 01:46:34,FALSE,NA,"1001278595246018561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dishakk_",32817,TRUE,FALSE,NA,NA
"4","RT @UN_Women: #RoyalWedding is no longer trending, but the Duchess of Sussex's message will always be relevant. https://t.co/hfczpknSgD",FALSE,0,NA,2018-05-29 01:46:31,FALSE,NA,"1001278582700691456",NA,"<a href=""https://ViralPro.com"" rel=""nofollow"">ViralPro</a>","Dawoodahmad00",1015,TRUE,FALSE,NA,NA
"5","RT @rlpams: Gospel choir sing 'Stand By Me' at the #RoyalWedding
@reypams98
@reypams88
@rlpams
@vinaymishra1961
@Sophia1Kamila_
@ThShaher
@<U+2026>",FALSE,0,NA,2018-05-29 01:45:11,FALSE,NA,"1001278247953350656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tVKAu3RyXF5eHA8",35,TRUE,FALSE,NA,NA
"6","RT @harding_lady: Two and a half miles (approx), packed with people. Imagine how jealous @realDonaldTrump must be. We all know how obsessed<U+2026>",FALSE,0,NA,2018-05-29 01:44:40,FALSE,NA,"1001278118668177410",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Liebefacts",2,TRUE,FALSE,NA,NA
"7","RT @AprilMasini: Thanks for the interview @GarveyShuffle. You did a great job on a sensitive topic for @BravoTV. I look forward to working<U+2026>",FALSE,0,NA,2018-05-29 01:43:11,FALSE,NA,"1001277745245155328",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","deltaSanchezTo5",15,TRUE,FALSE,NA,NA
"8","RT @UN_Women: #RoyalWedding is no longer trending, but the Duchess of Sussex's message will always be relevant. https://t.co/hfczpknSgD",FALSE,0,NA,2018-05-29 01:42:32,FALSE,NA,"1001277581629509632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FanXiao_WSS",1015,TRUE,FALSE,NA,NA
"9","RT @ICOsprintx: Definitely a #RoyalWedding for the ages<U+203C><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BE><U+0089>
Congratulations to the newlyweds, we wish you the best of the best<ed><U+00A0><U+00BC><ed><U+00BC><U+009F>
May this be<U+2026>",FALSE,0,NA,2018-05-29 01:42:07,FALSE,NA,"1001277474074972160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tallestbreed",452,TRUE,FALSE,NA,NA
"10","RT @craigshapes: Have unfriended everyone on my Facebook that was moaning about the #RoyalWedding. Theres doom &amp; gloom in the news and on t<U+2026>",FALSE,0,NA,2018-05-29 01:42:00,FALSE,NA,"1001277444597452805",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","walnutsmilez",34,TRUE,FALSE,NA,NA
"11","@BacheloretteABC Too bad Harry<U+2019>s already taken #RoyalWedding <ed><U+00A0><U+00BD><ed><U+00B8><U+009C> lol sorry, had to tie in the two biggest events of the year #thebachelorette",FALSE,0,"BacheloretteABC",2018-05-29 01:40:54,FALSE,"1001276588971970560","1001277169396584449","288309667","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katiesince",0,FALSE,FALSE,NA,NA
"12","How much longer can we wait for the #RoyalWedding? #CrazyRichAsians @kevinkwanbooks @henrygolding @ConstanceWu<U+2026> https://t.co/8UN1o95GrU",FALSE,0,NA,2018-05-29 01:40:48,TRUE,NA,"1001277142557065217",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MarcBreindel",0,FALSE,FALSE,NA,NA
"13","RT @ICOsprintx: Definitely a #RoyalWedding for the ages<U+203C><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BE><U+0089>
Congratulations to the newlyweds, we wish you the best of the best<ed><U+00A0><U+00BC><ed><U+00BC><U+009F>
May this be<U+2026>",FALSE,0,NA,2018-05-29 01:40:34,FALSE,NA,"1001277084088418304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Red_Devil1610",452,TRUE,FALSE,NA,NA
"14","RT @churchofengland: Congratulations to the Duke and Duchess of Sussex! #RoyalWedding #RoyalWeddingDay https://t.co/LCdyNoJ5LT",FALSE,0,NA,2018-05-29 01:40:26,FALSE,NA,"1001277051335315456",NA,"<a href=""http://semanticearth.com/"" rel=""nofollow"">SemanticEarthApp</a>","SemanticEarth",157,TRUE,FALSE,NA,NA
"15","RT @ILikeManBuns: So #PrinceHarry fell off a ladder and today, stung by a Bee? https://t.co/CTXjqmuYw9",FALSE,0,NA,2018-05-29 01:40:16,FALSE,NA,"1001277010373734401",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ariadne38",1,TRUE,FALSE,NA,NA
"16","RT @SixersBBL: <ed><U+00A0><U+00BD><ed><U+00B1><U+0091> &gt; Last week there was the #RoyalWedding . Today we're making a Royal announcement of our very own! <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>

Full details &gt; https<U+2026>",FALSE,0,NA,2018-05-29 01:39:37,FALSE,NA,"1001276844648235008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fi_penny_",9,TRUE,FALSE,NA,NA
"17","So, @PageSix @newyorkpost: Here's what you should know about our ""boring"" province of Alberta, where Prince Harry a<U+2026> https://t.co/qOD9f8oNuJ",FALSE,0,NA,2018-05-29 01:39:16,TRUE,NA,"1001276757784383490",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Q107Calgary",0,FALSE,FALSE,NA,NA
"18","RT @willyleeadams: All the headpieces and dour expressions at the #RoyalWedding have me thinking of Offred from The Handmaid's Tale. Smile,<U+2026>",FALSE,0,NA,2018-05-29 01:39:06,FALSE,NA,"1001276713614086144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chilhon2016Lap",8,TRUE,FALSE,NA,NA
"19","RT @willyleeadams: Yass queen! <ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BC><ed><U+00B7><U+00AC><ed><U+00A0><U+00BC><ed><U+00B7><U+00A7> #RoyalWedding https://t.co/VTdsgQbZFw",FALSE,0,NA,2018-05-29 01:39:03,FALSE,NA,"1001276704281841664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chilhon2016Lap",162,TRUE,FALSE,NA,NA
