"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Lewisno1fan: What an absolutely lovely dear funny sweet woman, OMG. So happy for her. Her project sound awesome #RoyalWedding Pamela An<U+2026>",FALSE,0,NA,2018-04-12 01:43:50,FALSE,NA,"984245679219408898",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DeelightRI",1,TRUE,FALSE,NA,NA
"2","RT @giftsinternatio: #Competition #Win #WinitWednesday to celebrate the #RoyalWedding simply FOLLOW and RETWEET. Diamante Flutes and #champ<U+2026>",FALSE,0,NA,2018-04-12 01:43:28,FALSE,NA,"984245583669092353",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lindaturner997",548,TRUE,FALSE,NA,NA
"3","RT @5_News: One of the lucky recipients of an invite to Harry and Meghan<U+2019>s wedding is 
Pamela Anomneze - she tells us how she reacted when<U+2026>",FALSE,0,NA,2018-04-12 01:42:50,FALSE,NA,"984245426567118848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ummietar",281,TRUE,FALSE,NA,NA
"4","RT @5_News: One of the lucky recipients of an invite to Harry and Meghan<U+2019>s wedding is 
Pamela Anomneze - she tells us how she reacted when<U+2026>",FALSE,0,NA,2018-04-12 01:34:24,FALSE,NA,"984243302584258561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Preciously_LDN",281,TRUE,FALSE,NA,NA
"5","RT @XHNews: Prince Harry &amp; Meghan Markle not to have UK or foreign political leaders on #Royalwedding guest list; neither British PM Theres<U+2026>",FALSE,0,NA,2018-04-12 01:33:26,FALSE,NA,"984243060274905089",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sumitkashyap22",38,TRUE,FALSE,NA,NA
"6","RT @5_News: One of the lucky recipients of an invite to Harry and Meghan<U+2019>s wedding is 
Pamela Anomneze - she tells us how she reacted when<U+2026>",FALSE,0,NA,2018-04-12 01:33:20,FALSE,NA,"984243035935559680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CharlesKayLDN",281,TRUE,FALSE,NA,NA
"7","RT @PenguinTeen: #CrownTown news alert: A profile of #PrinceHarry through the years: https://t.co/KSHFEQ6lHG https://t.co/IdjA8pQcMZ",FALSE,0,NA,2018-04-12 01:26:31,FALSE,NA,"984241321371230208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BerryShortKake",3,TRUE,FALSE,NA,NA
"8","RT @debrajgreen: Loved our time on #thismorning and we were presented with bouquets from the Royal florist #RoyalWedding @weareROC @thismor<U+2026>",FALSE,0,NA,2018-04-12 01:25:54,FALSE,NA,"984241166156750848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jossielondon",13,TRUE,FALSE,NA,NA
"9","RT @TODAYshow: TODAY is heading to Windsor for live coverage of the #royalwedding! https://t.co/prJbZwzcp4",FALSE,0,NA,2018-04-12 01:22:14,FALSE,NA,"984240241077866496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TylerTODAY",28,TRUE,FALSE,NA,NA
"10","RT @5_News: One of the lucky recipients of an invite to Harry and Meghan<U+2019>s wedding is 
Pamela Anomneze - she tells us how she reacted when<U+2026>",FALSE,0,NA,2018-04-12 01:19:17,FALSE,NA,"984239500858716161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bezzzw",281,TRUE,FALSE,NA,NA
