"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @CanadianMint: Celebrate the #RoyalWedding at the Canadian Mint! Visit the Mint boutique from May 9th to May 23rd to get the new #RoyalW<U+2026>",FALSE,0,NA,2018-05-10 01:45:46,FALSE,NA,"994393024128999426",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheLadyandRose",4,TRUE,FALSE,NA,NA
"2","RT @deb98201: Windsor Castle will soon be buzzing  with festivities. 
#RoyalWedding #windsorcastle #England 
https://t.co/Q4le5gkpG9 https:<U+2026>",FALSE,0,NA,2018-05-10 01:45:26,FALSE,NA,"994392941815742465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Road2Retire",1,TRUE,FALSE,NA,NA
"3","RT @LEGOLANDWindsor: To celebrate HRH Prince Harry &amp; Ms. Meghan Markle<U+2019>s wedding we proudly announce the creation of our very own LEGO Wind<U+2026>",FALSE,0,NA,2018-05-10 01:44:52,FALSE,NA,"994392796072153089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","guirlette1",75,TRUE,FALSE,NA,NA
"4","RT @Reuters: These lemon elderflower cupcakes offer a taste of the royal wedding. See more #royalwedding coverage: https://t.co/LmZltIzbPQ<U+2026>",FALSE,0,NA,2018-05-10 01:44:44,FALSE,NA,"994392761930534913",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dani_Bella_Rina",18,TRUE,FALSE,NA,NA
"5","RT @CBSThisMorning: Pssst.... did you hear? @GayleKing will be on @colbertlateshow tonight chatting about her coverage at the upcoming #Roy<U+2026>",FALSE,0,NA,2018-05-10 01:44:06,FALSE,NA,"994392602911952896",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lifenolimits",3,TRUE,FALSE,NA,NA
"6","RT @globalnews: The Royal Canadian Mint has lived up to its name - and just newly minted some royals! https://t.co/iXLJjdjX6H #royalwedding",FALSE,0,NA,2018-05-10 01:44:04,FALSE,NA,"994392595211137024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","guirlette1",48,TRUE,FALSE,NA,NA
"7","RT @MichaelDapaah: Big shaq get<U+2019>s invited to the Royal Wedding <ed><U+00A0><U+00BD><ed><U+00B1><U+00B0><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B8><U+0085>
--------------------------------------
#RoyalWedding https://t.co/jadWP1<U+2026>",FALSE,0,NA,2018-05-10 01:42:51,FALSE,NA,"994392291572928513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Brooke_Martins",7475,TRUE,FALSE,NA,NA
"8","Time to get that summer bod ready and check out future royal #MeghanMarkle's favourite fitness hot spots in<U+2026> https://t.co/7BBQ5KPhed",FALSE,2,NA,2018-05-10 01:42:00,TRUE,NA,"994392075507458048",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter Ads Composer</a>","etalkCTV",0,FALSE,FALSE,NA,NA
"9","RT @Reuters: The Lego version of Prince Harry and Meghan Markle's royal wedding has already happened. See more #royalwedding coverage: http<U+2026>",FALSE,0,NA,2018-05-10 01:41:10,FALSE,NA,"994391865318395904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","guirlette1",34,TRUE,FALSE,NA,NA
"10","RT @Reuters: These lemon elderflower cupcakes offer a taste of the royal wedding. See more #royalwedding coverage: https://t.co/LmZltIzbPQ<U+2026>",FALSE,0,NA,2018-05-10 01:41:07,FALSE,NA,"994391853574311936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andrepaulina_",18,TRUE,FALSE,NA,NA
"11","RT @RoyalsUKNews: Experts expect #HarryandMeghan wedding cost around <U+20A4>500,000 the royal family have announced that they will pay for the we<U+2026>",FALSE,0,NA,2018-05-10 01:40:52,FALSE,NA,"994391788935933952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LouiseGhislaine",1,TRUE,FALSE,NA,NA
"12","This is a very nice testimony to Prince Harry the Soldier! #RoyalWedding https://t.co/OniuZCxTdB",FALSE,1,NA,2018-05-10 01:40:22,FALSE,NA,"994391666927816705",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DeelightRI",0,FALSE,FALSE,NA,NA
"13","Experts expect #HarryandMeghan wedding cost around <U+20A4>500,000 the royal family have announced that they will pay for<U+2026> https://t.co/k2j8ui0EU8",FALSE,0,NA,2018-05-10 01:40:02,TRUE,NA,"994391582618079234",NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>","RoyalsUKNews",1,FALSE,FALSE,NA,NA
"14","RT @RoyaNikkhah: Behind the scenes with the magnificent beasts of the Household Cavalry @HCav1660 the regiment #princeharry served with, wh<U+2026>",FALSE,0,NA,2018-05-10 01:39:49,FALSE,NA,"994391527861387265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","guirlette1",24,TRUE,FALSE,NA,NA
"15","RT @Reuters: A royal wedding of 60,000 Legos. See more #royalwedding coverage: https://t.co/LmZltIzbPQ https://t.co/F7IOjyGCRX",FALSE,0,NA,2018-05-10 01:39:38,FALSE,NA,"994391481845714944",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","team24fan",45,TRUE,FALSE,NA,NA
"16","RT @RoyaNikkhah: These Household Cavalry @HCav1660 State Trumpeters will sound a royal salute for the Queen when she arrives at the #royalw<U+2026>",FALSE,0,NA,2018-05-10 01:39:36,FALSE,NA,"994391472458911744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","guirlette1",13,TRUE,FALSE,NA,NA
"17","RT @GTownCupcake: <ed><U+00A0><U+00BC><ed><U+00BD><U+00BE><ed><U+00A0><U+00BC><ed><U+00B7><U+00AC><ed><U+00A0><U+00BC><ed><U+00B7><U+00A7><ed><U+00A0><U+00BC><ed><U+00BF><U+00B0> 10 days until the #RoyalWedding and we're celebrating in the sweetest way possible!! https://t.co/jEZKqWWVMU",FALSE,0,NA,2018-05-10 01:38:44,FALSE,NA,"994391255550513153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oliviaaatn",10,TRUE,FALSE,NA,NA
