"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Essence: The Duchess of Sussex made sure #BlackExcellence was on full display during the #RoyalWedding: https://t.co/t03yj0E2HX",FALSE,0,NA,2018-05-27 01:48:30,FALSE,NA,"1000554306242863104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1sistr",6,TRUE,FALSE,NA,NA
"2","RT @DionLimTV: My friend Chuck ordered a #RoyalWedding commemorative plate from <ed><U+00A0><U+00BC><ed><U+00B7><U+00A7><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7>Brazil and this is what arrived! <ed><U+00A0><U+00BE><ed><U+00B4><U+00AA> #fail https://t.co/1fG<U+2026>",FALSE,0,NA,2018-05-27 01:48:23,FALSE,NA,"1000554275611725825",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CardinalCenCal",10,TRUE,FALSE,NA,NA
"3","RT @HouseofHerrera: How does the House of Herrera envision a #royalwedding dress? We shared our vision with @wwd. https://t.co/y6eEA9BeKR",FALSE,0,NA,2018-05-27 01:48:20,FALSE,NA,"1000554264404615168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","floralesandrini",10,TRUE,FALSE,NA,NA
"4","RT @HRHHenryWindsor: Thank you for all the well wishes and beautiful words of encouragement! Meghan and I had a beautiful day and we were h<U+2026>",FALSE,0,NA,2018-05-27 01:48:17,FALSE,NA,"1000554250785775616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Taff_DaviesFI",706,TRUE,FALSE,NA,NA
"5","RT @Essence: The Duchess of Sussex made sure #BlackExcellence was on full display during the #RoyalWedding: https://t.co/t03yj0E2HX",FALSE,0,NA,2018-05-27 01:48:15,FALSE,NA,"1000554243890262017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Milenamnam",7,TRUE,FALSE,NA,NA
"6","RT @KensingtonRoyal: The Duke and Duchess of Sussex have released three official photographs from their Wedding day.

These photographs wer<U+2026>",FALSE,0,NA,2018-05-27 01:47:48,FALSE,NA,"1000554127930388482",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanielleOX",35370,TRUE,FALSE,NA,NA
"7","RT @Essence: The Duchess of Sussex made sure #BlackExcellence was on full display during the #RoyalWedding: https://t.co/t03yj0E2HX",FALSE,0,NA,2018-05-27 01:47:37,FALSE,NA,"1000554082250215426",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Only4RM",7,TRUE,FALSE,NA,NA
"8","RT @koreandoll: With the #RoyalWedding giving us all wedding fever, find out more about my <U+275D> Breathtaking DIY Rustic Wedding <U+275E> ideas here <U+00BB><U+2026>",FALSE,0,NA,2018-05-27 01:47:33,FALSE,NA,"1000554066513223686",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RockabyeParents",76,TRUE,FALSE,NA,NA
"9","RT @tucasloledo: Prince Harry at the afterparty #RoyalWedding https://t.co/58imgq077k",FALSE,0,NA,2018-05-27 01:47:29,FALSE,NA,"1000554051598209024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Oroboreal",35325,TRUE,FALSE,NA,NA
"10","RT @IAM_AC310: If the world really knew why they murdered Princess Diana. Oh boy.

#Pedogate #Pizzagate #Pedowood #QAnon #Followthewhiterab<U+2026>",FALSE,0,NA,2018-05-27 01:47:08,FALSE,NA,"1000553963530473473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1HawkMama",30,TRUE,FALSE,NA,NA
"11","RT @MohammedAbbasi: #Congratulations to The Duke &amp; Duchess of Sussex @KensingtonRoyal Prince Harry and Meghan Markle on their marriage :) #<U+2026>",FALSE,0,NA,2018-05-27 01:47:00,FALSE,NA,"1000553926096142337",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nangiana_debra",37,TRUE,FALSE,NA,NA
"12","RT @LondonaLozzy: Diana, your son got married today. The flowers in Meghan's bouquet were hand picked by him from your garden. The hymn the<U+2026>",FALSE,0,NA,2018-05-27 01:46:55,FALSE,NA,"1000553907817459712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kuwtkourtk",80357,TRUE,FALSE,NA,NA
"13","RT @Essence: The Duchess of Sussex made sure #BlackExcellence was on full display during the #RoyalWedding: https://t.co/t03yj0E2HX",FALSE,0,NA,2018-05-27 01:46:21,FALSE,NA,"1000553763378167808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nayasala",7,TRUE,FALSE,NA,NA
"14","RT @SonyMusicIn: It<U+2019>s been a week since the #RoyalWedding<U+00A0> <ed><U+00A0><U+00BD><ed><U+00B2><U+008D> but we<U+2019>re totally not over it! <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6>: <U+2018>Let Me<U+2019> by @zaynmalik https://t.co/unRwCAgg<U+2026>",FALSE,0,NA,2018-05-27 01:46:19,FALSE,NA,"1000553754582835200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hamzaoui100",65,TRUE,FALSE,NA,NA
"15","It<U+2019>s been a week since the #RoyalWedding<U+00A0> <ed><U+00A0><U+00BD><ed><U+00B2><U+008D> but we<U+2019>re totally not over it! <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6>: <U+2018>Let Me<U+2019> by @zaynmalik<U+2026> https://t.co/nn0spXgMwm",FALSE,0,NA,2018-05-27 01:45:56,TRUE,NA,"1000553660164792320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RaiolAdriene",0,FALSE,FALSE,NA,NA
"16","The Duchess of Sussex made sure #BlackExcellence was on full display during the #RoyalWedding: https://t.co/t03yj0E2HX",FALSE,9,NA,2018-05-27 01:45:39,FALSE,NA,"1000553590170275840",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Essence",7,FALSE,FALSE,NA,NA
"17","RT @HelloCanada: Right after the #royalwedding, @priyankachopra joined @UNICEF in Bangladesh for a very important project https://t.co/eWkx<U+2026>",FALSE,0,NA,2018-05-27 01:45:26,FALSE,NA,"1000553532871794689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PCsDRAG0N",7,TRUE,FALSE,NA,NA
