"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","No bee will be turned aside from Prince Harry and Meghan Markle's #RoyalWedding https://t.co/09crPZMJzN https://t.co/lsaO8GaxlO",FALSE,0,NA,2018-04-05 01:45:01,FALSE,NA,"981709261112737793",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","MotherNatureNet",0,FALSE,FALSE,NA,NA
"2","RT @wordsmithviv: The Obamas and the Clintons are invited to the #RoyalWedding as Prince Harry and Meghan Markle prepare to tie the knot. N<U+2026>",FALSE,0,NA,2018-04-05 01:44:46,FALSE,NA,"981709194943492097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","crazylegsmike",82,TRUE,FALSE,NA,NA
"3","@ELLEmagazine Donate that money to #CancerResearch and elope. #PrinceHarry #MeghanMarkle <U+2764><U+FE0F>",FALSE,0,"ELLEmagazine",2018-04-05 01:40:01,FALSE,"981677142713995264","981708001198444545","20177423","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BellaDolce5",0,FALSE,FALSE,NA,NA
"4","RT @7NewsSydney: The Federal Tourism Minister @StevenCiobo has turned royal wedding planner He's invited Prince Harry and @meghanmarkle to<U+2026>",FALSE,0,NA,2018-04-05 01:38:00,FALSE,NA,"981707492777517063",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","MBCFoods",3,TRUE,FALSE,NA,NA
"5","For the sake of sanity, and all that is holy, here<U+2019>s the original video. Funny how #PrinceHarry was asked about dat<U+2026> https://t.co/U4cw4vfUcq",FALSE,0,"EPiCIsha",2018-04-05 01:34:46,TRUE,"981705207288619008","981706679741026304","627773541","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EPiCIsha",0,FALSE,FALSE,NA,NA
"6","We<U+2019>re nearing the wedding date of #MeghanMarkle and #PrinceHarry. Could this fashion house be designing her gown? :<U+2026> https://t.co/KjB4Der45h",FALSE,0,NA,2018-04-05 01:34:42,TRUE,NA,"981706662024065029",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","preenonline",0,FALSE,FALSE,NA,NA
"7","Paint version i did of Meghan markle and prince harry #celebrity #meghanmarkle #artontwitter #PrinceHarryAndMeghan<U+2026> https://t.co/7hN6OU0tET",FALSE,0,NA,2018-04-05 01:33:36,TRUE,NA,"981706384860483585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stink1279",0,FALSE,FALSE,NA,NA
"8","RT @wordsmithviv: The Obamas and the Clintons are invited to the #RoyalWedding as Prince Harry and Meghan Markle prepare to tie the knot. N<U+2026>",FALSE,0,NA,2018-04-05 01:31:53,FALSE,NA,"981705955707686912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","spfld62704",82,TRUE,FALSE,NA,NA
"9","RT @wordsmithviv: The Obamas and the Clintons are invited to the #RoyalWedding as Prince Harry and Meghan Markle prepare to tie the knot. N<U+2026>",FALSE,0,NA,2018-04-05 01:30:19,FALSE,NA,"981705560616824834",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tazarae20",82,TRUE,FALSE,NA,NA
"10","RT @freethinkinvybz: how the #British are #responding to the #increase in #youth #knife and #gun #violence #Theresamay #JeremyCorbyn #Queen<U+2026>",FALSE,0,NA,2018-04-05 01:27:24,FALSE,NA,"981704825091035136",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Gem_WifeOfRhye",1,TRUE,FALSE,NA,NA
